"MesZL","ŠL/HA","aBZL","HethZL","Sign Name","Unicode Glyph","Unicode Name","Comments "
4,"002a",2," ","EŠ6 (AŠ.AŠ.AŠ)","U+12401 𒐁","NUMERIC SIGN THREE ASH","""3"" "
8,11,13," ","BÚR","U+12054 𒁔","BUR2","  "
11,14," "," ","AŠ+SUR","U+12038 𒀸 & U+122E9 𒋩","ASH & SUR","ligature "
13,4,11," ","ZADIM (MUG-gunû)","U+1222F 𒈯","MUG GUNU",
19,51,17," ","ÁRAD (ARAD×KUR)","U+12035 𒀵","ARAD TIMES KUR","reconstruction "
,," "," ","ITI (UD-šeššig)","U+1231A 𒌚","UD SHESHIG","  "
21,"052xv"," "," ","ÍTI (ITI×BAD)","U+1231B 𒌛","UD SHESHIG TIMES BAD","  "
22,53,4," ","ŠUBUR","U+122DA 𒋚","SHUBUR","Subartu, which is a region of upper Mesopotamia in the Bronze Age, which later came to be called Assyria.  "
25,"015x"," "," ","KA×GÍR","U+12168 𒅨","KA TIMES GIR2","uncertain "
27,"15xx"," "," ","KA×TU"," "," ","variant of n72 URU×TU "
28,"016a"," "," ","KA×RU","U+1217D 𒅽","KA TIMES RU","  "
29,17,314," ","UŠ11 (KA×BAD)","U+1215C 𒅜","KA TIMES BAD","  "
33,19,321," ","PÙ (KA×KÁR)","U+12164 𒅤","KA TIMES GAN2 TENU","  "
34,20," "," ","KA× AD.KUG","U+1215A 𒅚","KA TIMES AD PLUS KU3","  "
35,"022x",313," ","KA×NE","U+1217A 𒅺","KA TIMES NE","  "
37,23," "," ","KA×KIB","U+1216A 𒅪","KA TIMES GISH CROSSING GISH","  "
39,"022xn2"," "," ","KA×UŠ","U+1218B 𒆋","KA TIMES USH","  "
42,24,319," ","KA×ŠID","U+12182 𒆂","KA TIMES SHID","  "
43,"024x"," "," ","KA×Ú","U+12188 𒆈","KA TIMES U2","  "
44,25,318," ","KAxGA","U+12162 𒅢","KA TIMES GA","  "
45,21,324," ","KA×SAR","U+1217F 𒅿","KA TIMES SAR","  "
46,"025n"," "," ","KA×ÁŠ","U+1215B 𒅛","KA TIMES ASH2","  "
47,"025b",317," ","KA×DÚB/BALAG","U+1215D 𒅝","KA TIMES BALAG","  "
48,"025c"," "," ","KA×ŠA","U+12180 𒆀","KA TIMES SHA","  "
49,26,320," ","ŠÙDU (KA×ŠU)","U+12183 𒆃","KA TIMES SHU","  "
52,"028n"," "," ","KA×PI","U+1217C 𒅼","KA TIMES PI","  "
53,"029x"," "," ","KA×ERIM","U+12160 𒅠","KA TIMES ERIN2","variant of n129 AG×ERIM "
55,"030n"," "," ","KA×ḪAR"," "," ","  "
57,31," "," ","KA×MI","U+12178 𒅸","KA TIMES MI","  "
58,"031xx"," "," ","KA×""EŠ"""," "," ","variant of n32 KA×SA "
59,"031n2"," "," ","KA×IGI","U+1216D 𒅭","KA TIMES IGI","variant of n79 URU×IGI "
60,"031x"," "," ","KA×KI","U+12170 𒅰","KA TIMES KI","  "
,"032n1"," "," ","KA× ME.GI","U+12176 𒅶","KA TIMES ME PLUS GI","  "
,"032n2"," "," ","KA× ME.DU","U+12175 𒅵","KA TIMES ME PLUS DU","  "
,"032n3"," "," ","KA× ME.TE","U+12177 𒅷","KA TIMES ME PLUS TE","  "
62,33,327," ","KA×ŠÈ","U+12161 𒅡","KA TIMES ESH2","  "
63,"033n"," "," ","KA×GUR7","U+1216C 𒅬","KA TIMES GUR7","  "
66,"036a"," "," ","KA× KADRA(NÍG.ŠÀ.A)","U+12166 𒅦","KA TIMES GAR PLUS SHA3 PLUS A","  "
68,"035n"," "," ","KA×SIG","U+12184 𒆄","KA TIMES SIG","  "
69,34," "," ","KA×GU","U+1216B 𒅫","KA TIMES GU","  "
72,39,188," ","URU×TU","U+1234B 𒍋","URU TIMES TU","variant of n27 "
74,"043v",187," ","URU×KÁR","U+1233E 𒌾","URU TIMES GAN2 TENU","  "
76,42,183," ","ŠÀKIR (URU×GA)","U+1233C 𒌼","URU TIMES GA","  "
77,43," "," ","ÚRU (URU×UD)","U+1234D 𒍍","URU TIMES UD","  "
78,45," "," ","URU×UL","U+1234C 𒍌","URU TIMES U PLUS GUD","  "
79,44,184," ","ASARI (URU×IGI)","U+12342 𒍂","URU TIMES IGI","  "
80,"49x",189," ","GIŠGAL (URU×MIN)","U+12347 𒍇","URU TIMES MIN","  "
81,"46xxx"," "," ","URU×A","U+12338 𒌸","URU TIMES A","  "
82,47,190," ","URU×ḪA","U+12341 𒍁","URU TIMES HA","  "
83,49,191," ","ÈRIM (URU×NÍG)","U+1233F 𒌿","URU TIMES GAR","  "
84,46,185," ","URU×GU (GUR5)","U+12340 𒍀","URU TIMES GU","  "
87,58,375," ","KU4","U+121AD 𒆭","KU4","  "
,"060a"," "," ","UTUKI (KÚR.IR.GÍDIM)","U+12359 𒍙","UTUKI","belongs to n585 "
95,"060+212"," "," ","PAB.IŠ (PA6)","U+1227D 𒉽 & U+12156 𒅖","PAP & ISH","  "
96,"060+308"," "," ","PAB.E (PA5)","U+1227D 𒉽 & U+1208A 𒂊","PAP & E","  "
,"308n2"," "," ","ExPAB","U+1208B 𒂋","E TIMES PAP","reconstruction "
97,"060x",268," ","GÀM (PAB.NÁ)","U+1219B 𒆛","KAM4","  "
100,65," "," ","ŠEŠLAM","U+122C2 𒋂","SHESHLAM","  "
101,66," "," ","ZIoverZI","U+12364 𒍤","ZI OVER ZI","  "
102,"066c",149," ","NÚMUN (ZIoverZI.LAGAB)","U+12364 𒍤 & U+121B8 𒆸","ZI OVER ZI & LAGAB","  "
103,"066b",150," ","ZIoverZI.ŠÈ","U+12364 𒍤 & U+120A0 𒂠","ZI OVER ZI & ESH2","  "
104,"066a",151," ","ZIoverZI.A","U+12364 𒍤 & U+12000 𒀀","ZI OVER ZI & A","  "
107,"063d"," "," ","NUNcrossingNUN","U+1226B 𒉫","NUN CROSSING NUN","  "
108,"063a"," "," ","KÁD","U+12190 𒆐","KAD2","  "
116,"071n",464," ","ŠIR-tenû","U+122D4 𒋔","SHIR TENU","  "
,"072a"," "," ","NUMUN-gunû","U+121B1 𒆱","KUL GUNU","  "
,"073av"," "," ","TI-tenû","U+122FE 𒋾","TI TENU","  "
,"465+166 +350+480"," "," ","DIN.KASKAL.SIG7","U+12078 𒁸","CUNEIFORM SIGN DIN KASKAL U GUNU DISH","  "
123,"074_182"," "," ","KÚNGA (BAR.AN)","U+12047 𒁇 & U+1202D 𒀭","BAR & AN","  "
125,"074_335"," "," ","GÍDIM (MAŠ.U)","U+12226 𒈦 & U+1230B 𒌋","MASH & U","  "
126,"074+471"," "," ","MAŠ.MAN","U+12226 𒈦 & U+12399 𒎙","MASH & U U","  "
128,"097a"," "," ","AG×ŠÍTA","U+1201F 𒀟","AK TIMES SHITA PLUS GISH","  "
138,82,36," ","SA4 (ḪU.NÁ)","U+12137 𒄷 & U+1223F 𒈿","HU & NA2","  "
144,87,241," ","NUN-tenû","U+12269 𒉩","NUN TENU","  "
,"063_27n"," "," ","NUNcrossingNUN. LAGARoverLAGAR","U+1226C 𒉬","NUN CROSSING NUN LAGAR OVER LAGAR","to n147 also "
146,"087aa"," "," ","IMMAL (NUN. LAGAR×BAR/MAŠ)","U+12265 𒉥","NUN LAGAR TIMES MASH","  "
"146'","087aan"," "," ","TÙR×UŠ","U+12265 𒉥","NUN LAGAR TIMES USH","  "
"146""","087cn"," "," ","TÙR×NÍG","U+12264 𒉤","NUN LAGAR TIMES GAR","  "
147,"087b; 460x",49," ","ŠILAM (NUN. LAGAR×MUNUS)","U+12266 𒉦","NUN LAGAR TIMES SAL","  "
,"087c"," "," ","ŠILAMoverŠILAM","U+12267 𒉧","NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL","  "
152,102,45," ","MÚŠ (MÙŠ-gunû)","U+1223D 𒈽","MUSH3 GUNU","  "
155,"103b"," "," ","SED (MÙŠ× A.DI)","U+1223B 𒈻","MUSH3 TIMES A PLUS DI","  "
156,"103cv"," "," ","MÙŠ×ZA"," "," ","  "
158,92," "," ","GAD.KÍD","U+120F0 𒃰 & U+122FA 𒋺","GAD & TAK4","  "
159,"092a",300," ","AKKIL (GAD.KÍD.SI)","U+120F0 𒃰 & U+122FA 𒋺 & U+122DB 𒋛","GAD & TAK4 & SI","  "
161,"092c"," "," ","SIG8 (GAD.KÍD.GIŠ)","U+120F0 𒃰 & U+122FA 𒋺 & U+12111 𒄑","GAD & TAK4 & GISH","  "
163,91,336," ","KINDA (GAD.NÍGoverGAD.NÍG)","U+120F1 𒃱","GAD OVER GAD GAR OVER GAR","  "
,"099c"," "," ","ENME","U+1209A 𒂚","EN TIMES ME","  "
,"099a1"," "," ","ENoverENcrossed","U+1209B 𒂛","EN CROSSING EN","  "
,"099b1"," "," ","4×ENsquared","U+1209D 𒂝","EN SQUARED","  "
,"099b2"," "," ","""4×EN"" (KUoverḪAR.KUoverḪAR)","U+121AB 𒆫","KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2","  "
,"099b3"," "," ","AŠ.KU.KUoverAŠ.KU.KU .KÚR","U+1203B 𒀻","ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP","  "
,"054v"," "," ","EN×KÁR (GÁN-tenû)","U+12099 𒂙","EN TIMES GAN2 TENU","reconstruction "
169,96,18," ","BULUG","U+12051 𒁑","BULUG","  "
,"096a",18," ","MÉNBULUG (BULUGoverBULUG)","U+12051 𒁑","BULUG OVER BULUG","  "
,"105n2"," "," ","GÁNoverGÁN","U+120F9 𒃹","GAN2 OVER GAN2","to be deleted "
175,105,246," ","KÁR (GÁN-tenû and ŠÈ-tenû)","U+120F8 𒃸","GAN2 TENU","  "
177,"107n",90," ","USAN (GÚ×NUN, GÚ.NUN)","U+1211B 𒄛","GU2 TIMES NUN","  "
182,113,165," ","SU4 (SI-gunû)","U+122DC 𒋜","SI GUNU","  "
,114," "," ","DAR (GÙN; ḪU-gunû, SI-gunû)"," "," ","variant of n183 "
185,"115n"," "," ","SAG×NUN","U+1229E 𒊞","SAG TIMES NUN","  "
186,118," "," ","SAG×UM","U+122A4 𒊤","SAG TIMES UM","  "
187,"121_6"," "," ","SAG×DU","U+12297 𒊗","SAG TIMES DU","  "
188,116,330," ","SAG×GAG","U+1229A 𒊚","SAG TIMES KAK","  "
189,"121_5"," "," ","SAG×NI"," "," ","uncertain "
190,"116n"," "," ","SAG×UŠ","U+122A6 𒊦","SAG TIMES USH","  "
191,117,310," ","DÌLIB (SAG×ŠID)","U+122A0 𒊠","SAG TIMES SHID","  "
192,"121_8"," "," ","SAG×Ú","U+122A2 𒊢","SAG TIMES U2","  "
193,"121_7"," "," ","SAG×UB","U+122A3 𒊣","SAG TIMES UB","  "
194,"121_10"," "," ","SAG×SIG7"," "," ","  "
195,119," "," ","KÀN (SAG×MI)","U+1229D 𒊝","SAG TIMES MI","  "
196,121," "," ","SAG×UR","U+122A5 𒊥","SAG TIMES UR","  "
197,"121n"," "," ","SAG×A","U+12296 𒊖","SAG TIMES A","  "
198,"121_1"," "," ","SAG×ḪA","U+12299 𒊙","SAG TIMES HA","  "
199,120," "," ","SAG×MUNUS","U+1229F 𒊟","SAG TIMES SAL","  "
200,"120n"," "," ","SAG×LUM","U+1229C 𒊜","SAG TIMES LUM","  "
202,"122a",51," ","DIMGUL (""MÁ.MUG"")","U+12223 𒈣 & U+1222E 𒈮","MA2 & MUG","  "
204,"122c"," "," ","ÙZ.KASKAL","U+1235B 𒍛","UZ3 TIMES KASKAL","  "
205,"122d",55," ","SUR9 (MÁ.KASKAL.SIG7 and similar)","U+122EA 𒋪","SUR9","  "
206,"122dv"," "," ","SUR10 (MÁ.SIG7 and similar)"," "," ","  "
208,"123n"," "," ","""nìq"""," "," ","see MesZL n208 "
210,"124a"," "," ","EŠ21 (TAB.AŠ)","U+1243B 𒐻","NUMERIC SIGN THREE VARIANT FORM ESH21","""3"" "
211,"125n"," "," ","MEGIDDA (TAB.TI)","U+122F0 𒋰 & U+122FE 𒋾","TAB & TI","  "
213,"210a"," "," ","GEŠTIN×KUR","U+120FF 𒃿","GESHTIN TIMES KUR","  "
214,"125v"," "," ","MÉGIDDA (TAB.KUN)","U+122F0 𒋰 & U+121B2 𒆲","TAB & KUN","  "
216,"125b"," "," ","IA7 (TAB.TAB.AŠ)","U+12403 𒐃","NUMERIC SIGN FIVE ASH","""5"" "
217,"125c"," "," ","AŠ4 (TAB.TAB.TAB)","U+12404 𒐄","NUMERIC SIGN SIX ASH","""6"" "
218,"125d"," "," ","ÍMIN (TAB.TAB.TAB.AŠ)","U+12405 𒐅","NUMERIC SIGN SEVEN ASH","""7"" "
219,"125e"," "," ","ÚSSU (TAB.TAB.TAB.TAB)","U+12406 𒐆","NUMERIC SIGN EIGHT ASH","""8"" "
220,"125f"," "," ","ÍLIMMU (TAB.TAB.TAB.TAB.AŠ)","U+12407 𒐇","NUMERIC SIGN NINE ASH","""9"" "
224,"128xv"," "," ","AB×NUN"," "," ","  "
225,198," "," ","AB×KÁR","U+1200E 𒀎","AB TIMES GAN2 TENU","  "
226,"200c"," "," ","AB×ŠEŠ","U+12013 𒀓","AB TIMES SHESH","  "
227,"200an",127," ","AB×ÁŠ","U+1200B 𒀋","AB TIMES ASH2","reconstruction "
228,194,128," ","URUGAL (AB×GAL)","U+1200D 𒀍","AB TIMES GAL","  "
229,196," "," ","AB×SIG7","U+12010 𒀐","AB TIMES IGI GUNU","  "
231,"128xxxx"," "," ","AB×U"," "," ","  "
,"200bn"," "," ","AB×AŠ"," "," ","  "
233,197," "," ","AB×KI"," "," ","  "
234,"198a"," "," ","AB×LAGAB","U+12012 𒀒","AB TIMES LAGAB","  "
235,199," "," ","AB×GÍN","U+1200C 𒀌","AB TIMES DUN3 GUNU","  "
236,"200v",131," ","NINA (AB×ḪA)","U+1200F 𒀏","AB TIMES HA","  "
237,"200d"," "," ","AB×IMIN","U+12011 𒀑","AB TIMES IMIN","  "
240,316," "," ","UM× U.LAGAB"," "," ","  "
,"132n2"," "," ","URUDU× U.LAGAB"," "," ","old "
241,137," "," ","UM× ME.DA","U+1231F 𒌟","UM TIMES ME PLUS DA","  "
243,"138a"," "," ","DUB×ŠE"," "," ","  "
244,135," "," ","DUB×ŠÀ"," "," ","U+12320 𒌠 UM TIMES SHA3 to be deleted "
245,"136; 316v1"," "," ","DUB×LAGAB"," "," ","U+1231E 𒌞 UM TIMES LAGAB to be deleted "
249,"141a"," "," ","TA-gunû","U+122EF 𒋯","TA GUNU","  "
250,141," "," ","TA×ḪI","U+122ED 𒋭","TA TIMES HI","  "
251,140," "," ","TA×MI","U+122EE 𒋮","TA TIMES MI","  "
254,143," "," ","KÁM"," "," ","  "
256,"144n"," "," ","TUR.DIŠ","U+12309 𒌉 & U+12079 𒁹","TUR & DISH","  "
257,"144f"," "," ","ZIZNA (TURoverTUR.ZAoverZA)","U+1230A 𒌊","TUR OVER TUR ZA OVER ZA","  "
262,149,"221b"," ","RAB","U+12290 𒊐","RAB","in old texts = n266 LUGAL "
263,"150v1"," "," ","DIM8 (RAB.GAN)","U+12290 𒊐 & U+120F6 𒃶","RAB & GAN","  "
265,"150v3"," "," ","DIM10 (RAB.KAM*)"," "," ","to n264 "
,"151vn"," "," ","LUGALoverLUGAL","U+12218 𒈘","LUGAL OVER LUGAL","  "
267,"150v2"," "," ","DIM9 (LUGAL.GAN)","U+12217 𒈗 & U+120F6 𒃶","LUGAL & GAN","to n264 "
268,"151v"," "," ","LUGAL.LUGALinversum","U+12219 𒈙","LUGAL OPPOSING LUGAL","to n266 "
269,"150v4"," "," ","DIM11 (LUGAL.KAM*)"," "," ","to n264 "
272,"152_8b"," "," ","BÀD (UG5 (EZEN×AN))","U+120A1 𒂡","EZEN TIMES AN","old form of n275 EZEN×BAD "
273,153," "," ","EZEN×LI","U+120B1 𒂱","EZEN TIMES LI","  "
274,"152_9",154," ","EZEN×LA","U+120AF 𒂯","EZEN TIMES LA","  "
276,"153_1"," "," ","EZEN×SI"," "," ","uncertain "
277,"152_4",157," ","UBARA (EZEN×KASKAL)","U+120AC 𒂬","EZEN TIMES KASKAL","  "
,"152_4v"," "," ","4×UBARA forming a cross","U+120AD 𒂭","EZEN TIMES KASKAL SQUARED","  "
278,154," "," ","EZEN×GU4"," "," ","  "
279,"154_1n"," "," ","EZEN×Ú","U+120B3 𒂳","EZEN TIMES U2","  "
280,"154a"," "," ","EZEN×MIR"," "," ","U+120A8 𒂨 EZEN TIMES DUN3 GUNU GUNU pertinent? "
281,155," "," ","EZEN×SIG7","U+120AB 𒂫","EZEN TIMES IGI GUNU","  "
283,"152_14"," "," ","EZEN×UD","U+120B4 𒂴","EZEN TIMES UD","  "
284,"152_16",156," ","EZEN×KUG","U+120AE 𒂮","EZEN TIMES KU3","  "
285,156,158," ","ASILAL (EZEN×LÁL)","U+120B0 𒂰","EZEN TIMES LAL TIMES LAL","  "
286,157," "," ","EZEN×LU","U+120B2 𒂲","EZEN TIMES LU","  "
287,162," "," ","EZEN×GÍN"," "," ","U+120A7 𒂧 EZEN TIMES DUN3 GUNU pertinent? "
288,158,159," ","ÀSILAL (EZEN×A)","U+120A2 𒂢","EZEN TIMES A","  "
289,159," "," ","SIL7 (EZEN× A.LAL)","U+120A3 𒂣","EZEN TIMES A PLUS LAL","  "
290,160," "," ","ASILAL4 (EZEN× A.LÁL)","U+120A4 𒂤","EZEN TIMES A PLUS LAL TIMES LAL","  "
291,161," "," ","EZENxḪA","U+120A9 𒂩","EZEN TIMES HA","  "
,"165v"," "," ","AN.NAGA.AN.NAGAinversum","U+12030 𒀰","AN PLUS NAGA OPPOSING AN PLUS NAGA","  "
,"165a"," "," ","4×AN.NAGA forming a cross","U+12031 𒀱","AN PLUS NAGA SQUARED","  "
,"165n1"," "," ","NAGAinversum","U+12241 𒉁","NAGA INVERTED","  "
,"165+165n1"," "," ","NAGA. NAGAinversum","U+12243 𒉃","NAGA OPPOSING NAGA","  "
294,"165b"," "," ","NAGA×ŠU-tenû","U+12242 𒉂","NAGA TIMES SHU TENU","  "
299,"167a"," "," ","GAB.LIŠ"," "," ","see 839 "
303,"166a"," "," ","ÌTI (KASKAL.ITI)","U+1219C 𒆜 & U+1231A 𒌚","KASKAL & UD TIMES U PLUS U PLUS U","  "
304,"166b",273," ","ILLAT (KASKAL.KUR)","U+1219C 𒆜 & U+121B3 𒆳","KASKAL & KUR","  "
305,"166+371",271," ","KASKAL.BU","U+1219C 𒆜 & U+1204D 𒁍","KASKAL & BU","  "
306,"166+398"," "," ","KASKAL.AḪ","U+1219C 𒆜 & U+12134 𒄴","KASKAL & HI TIMES NUN","  "
307,"166e"," "," ","KASKAL.LAGAB","U+1219C 𒆜 & U+121B8 𒆸","KASKAL & LAGAB","  "
,"166ee"," "," ","KASKAL.TÚLoverTÚL","U+1219D 𒆝","KASKAL LAGAB TIMES U OVER LAGAB TIMES U","  "
,"166een"," "," ","KASKALoverKASKAL.TÚLoverTÚL","U+1219E 𒆞","KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U","  "
308,"166f"," "," ","ZIKURA (KASKAL.ÀŠ)","U+1219C 𒆜 & U+1240B 𒐋","KASKAL & NUMERIC SIGN SIX DISH","  "
314,174," "," ","ÉMEŠ (NE×UD)","U+1224A 𒉊","NE TIMES UD","  "
315,175," "," ","ENTEN (NE×A)","U+12249 𒉉","NE TIMES A","  "
317,177," "," ","NÍNDA×AŠ","U+12254 𒉔","NINDA2 TIMES ASH","  "
318,"177n"," "," ","NÍNDA× AŠ.AŠ","U+12255 𒉕","NINDA2 TIMES ASH PLUS ASH","  "
319,178," "," ","NÍNDA×BAL"," "," ","  "
321,179," "," ","NÍNDA×BÁN"," "," ","  "
322,180," "," ","NÍNDA×GI"," "," ","  "
323,182," "," ","SUMAŠ","U+122E8 𒋨","SUMASH","  "
,"181n"," "," ","AZU×A","U+1236C 𒍬","ZU5 TIMES A","reconstruction; cf. O.B.O. 160/I 282 "
325,"182n"," "," ","NÍNDA×DUB?"," "," ","  "
327,184," "," ","NÍNDA×GU4","U+12256 𒉖","NINDA2 TIMES GUD","  "
328,186," "," ","NÍNDA×ŠID?"," "," ","  "
329,"184a"," "," ","NÍNDA×Ú"," "," ","uncertain "
330,185," "," ","NÍNDA× Ú.AŠ","U+1225E 𒉞","NINDA2 TIMES U2 PLUS ASH","  "
331,"186a"," "," ","NÍNDA× ŠE.AŠ","U+1225C 𒉜","NINDA2 TIMES SHE PLUS ASH","  "
332,"186b"," "," ","NÍNDA× ŠE.AŠ.AŠ","U+1225D 𒉝","NINDA2 TIMES SHE PLUS ASH PLUS ASH","  "
,"187v5"," "," ","NÍNDA×ŠE","U+1225A 𒉚","NINDA2 TIMES SHE","  "
,"187v1"," "," ","NÍNDA× ŠE.A .AN","U+1225B 𒉛","NINDA2 TIMES SHE PLUS A AN","  "
334,188," "," ","NÍNDA×U"," "," ","  "
335,189," "," ","NÍNDA×MAN"," "," ","  "
336,190,140," ","ZIG/ZIK (NÍNDA×EŠ)","U+12368 𒍨","ZIG","  "
337,"190a"," "," ","NÍNDA× ME.KÍD"," "," ","  "
,"190an4"," "," ","NÍNDA× ME.KÁR","U+12257 𒉗","NINDA2 TIMES ME PLUS GAN2 TENU","reconstruction "
342,"204v",73," ","ÚR×NUN","U+12330 𒌰","UR2 TIMES NUN","  "
343,"204n"," "," ","ÚR×AL","U+1232E 𒌮","UR2 TIMES AL","  "
344,"204a",74," ","ÚR×Ú","U+12331 𒌱","UR2 TIMES U2","  "
345,"204b"," "," ","ÚR× Ú.AŠ","U+12332 𒌲","UR2 TIMES U2 PLUS ASH","  "
346,"204c"," "," ","ÚR× A.ḪA","U+1232C 𒌬","UR2 TIMES A PLUS HA","  "
347,"204d"," "," ","ÚR×ḪA","U+1232F 𒌯","UR2 TIMES HA","  "
349,"205a"," "," ","IL×KÁR","U+1214C 𒅌","IL TIMES GAN2 TENU","uncertain reconstruction "
,"206a"," "," ","LAḪ4 (DUoverDU)","U+1207B 𒁻","DU OVER DU","  "
351,201,65," ","SUḪUŠ (DU-gunû)","U+1207C 𒁼","DU GUNU","  "
355,"207a"," "," ","TUM-gunû/TUM×KÁR"," "," ","  "
359,214," "," ","EŠEMIN5 (""BI"")","U+12459 𒑙","NUMERIC SIGN TWO ESHE3","  "
360,"214a"," "," ","BI×SIG7","U+1204C 𒁌","BI TIMES IGI GUNU","reconstruction "
361,"214c"," "," ","BI×GAR","U+1204B 𒁋","BI TIMES GAR","reconstruction "
363,217," "," ","ŠIM×BAL","U+122C8 𒋈","SHIM TIMES BAL","  "
364,"217n"," "," ","ŠIM×BÚR"," "," ","uncertain "
365,216," "," ","ŠIM×MUG","U+122D0 𒋐","SHIM TIMES MUG","  "
366,221," "," ","ŠIM×DIN","U+122CA 𒋊","SHIM TIMES DIN","  "
367,218," "," ","ŠIM×BULUG","U+122C9 𒋉","SHIM TIMES BULUG","  "
368,"219x"," "," ","ŠIM×SIG7","U+122CD 𒋍","SHIM TIMES IGI GUNU","  "
369,219," "," ","ŠIM×LUL","U+122CF 𒋏","SHIM TIMES LUL","  "
370,"219xx"," "," ","ŠIM×PI"," "," ","reconstruction "
371,220," "," ","ŠIM×IGI","U+122CC 𒋌","SHIM TIMES IGI","  "
372,224," "," ","ŠIM×A (DUMGAL)","U+122C7 𒋇","SHIM TIMES A","  "
374,222," "," ","ŠIM×MUNUS (ŠIM×SAL)","U+122D1 𒋑","SHIM TIMES SAL","  "
375,223," "," ","ŠIM×KÚŠU","U+122CE 𒋎","SHIM TIMES KUSHU2","  "
376,226,81," ","GISAL (BI.GIŠ)","U+12110 𒄐","GISAL","  "
377,227," "," ","BÁNŠUR","U+12143 𒅃","IDIM OVER IDIM BUR","  "
382,"211n",69," ","UŠ×KÍD","U+12355 𒍕","USH TIMES TAK4","  "
383,"211n2"," "," ","UŠ×KU","U+12353 𒍓","USH TIMES KU","  "
384,"211b",71," ","KÀŠ (UŠ×A)","U+12352 𒍒","USH TIMES A","  "
386,"229n"," "," ","DÀG (""NA4"")","U+1224C 𒉌 & U+1209F 𒂟","NI & ERIM","  "
388,"233_22",270," ","ŠITA (""GÁ"")","U+122D6 𒋖","SHITA","  "
389,234," "," ","GÁ×AŠ","U+120BD 𒂽","GÁ×AŠ","  "
390,235," "," ","GÁ× ḪAL.LA","U+120D3 𒃓","GA2 TIMES HAL PLUS LA","  "
391,236," "," ","GÁ× GÍR.SU","U+120D0 𒃐","GA2 TIMES GIR2 PLUS SU","  "
393,238," "," ","GÁ× AN.GAG.A"," "," ","  "
394,241,69," ","GÁ×KÍD","U+120E9 𒃩","GA2 TIMES TAK4","  "
395,242," "," ","GÁ×BAD","U+120BF 𒂿","GA2 TIMES BAD","  "
396,243," "," ","GÁ×GI","U+120CD 𒃍","GA2 TIMES GI","  "
397,"244v",96," ","GANUN (GÁ×NUN)","U+120E0 𒃠","GA2 TIMES NUN","  "
398,245," "," ","GÁ×KAB","U+120D5 𒃕","GA2 TIMES HUB2","  "
399,247," "," ","GÁ×EN","U+120C9 𒃉","GA2 TIMES EN","  "
400,239," "," ","GÁ×BURU14","U+120CA 𒃊","GA2 TIMES EN TIMES GAN2 TENU","  "
401,246," "," ","GÁ× MUN(DIM×ŠE, later DIM×KUR)","U+120C5 𒃅","GA2 TIMES DIM TIMES SHE","  "
402,248,98," ","GÁ×KÁR","U+120CB 𒃋","GA2 TIMES GAN2 TENU","  "
403,250," "," ","GÁ×DUB","U+120C6 𒃆","GA2 TIMES DUB","  "
404,"250c"," "," ","GÁ×SUM","U+120E8 𒃨","GA2 TIMES SUM","  "
405,"250d"," "," ","GÁ×KASKAL","U+120D9 𒃙","GA2 TIMES KASKAL","  "
406,"250i"," "," ","GÁ× IŠ.ḪU.AŠ","U+120D7 𒃗","GA2 TIMES ISH PLUS HU PLUS ASH","  "
407,251," "," ","GÁ×GAG","U+120D8 𒃘","GA2 TIMES KAK","  "
,257," "," ","SILA4 also: GÁ×ÁŠ"," "," ","transliteration only gazi "
409,"252_1"," "," ","GÁ× KID.LAL","U+120DB 𒃛","GA2 TIMES KID PLUS LAL","  "
410,"252_2"," "," ","GÁ×ŠID","U+120E7 𒃧","GA2 TIMES SHID","  "
412,256," "," ","GÁ×GI4","U+120CE 𒃎","GA2 TIMES GI4","  "
413,"250b"," "," ","GÁ×SAR","U+120E4 𒃤","GA2 TIMES SAR","  "
414,258," "," ","GÁ× ÁŠ.GAL","U+120BE 𒂾","GA2 TIMES ASH2 PLUS GAL","  "
415,259," "," ","GÁ× BUR.RA","U+120C2 𒃂","GA2 TIMES BUR PLUS RA","  "
416,"259n"," "," ","GÁ×DA","U+120C3 𒃃","GA2 TIMES DA","  "
417,260," "," ","GÁ×SIG7","U+120D6 𒃖","GA2 TIMES IGI GUNU","  "
419,"261a"," "," ","GÁ× ŠE.TUR","U+120E6 𒃦","GA2 TIMES SHE PLUS TUR","  "
420,262," "," ","GÁ×UD","U+120EB 𒃫","GA2 TIMES UD","  "
421,263," "," ","GÁx ḪI.LI","U+120D4 𒃔","GA2 TIMES HI PLUS LI","  "
422,264," "," ","GÁ×U","U+120EA 𒃪","GA2 TIMES U","  "
423,"264a"," "," ","GÁ×ÁB"," "," ","uncertain "
425,268," "," ","GÁ×DI","U+120C4 𒃄","GA2 TIMES DI","  "
426,269," "," ","GÁ× KUG.AN","U+120DC 𒃜","GA2 TIMES KU3 PLUS AN","  "
427,270,102," ","MEN (GÁ× ME.EN)","U+120DE 𒃞","GA2 TIMES ME PLUS EN","  "
429,274," "," ","GÁ× A.IGI","U+120BA 𒂺","GA2 TIMES A PLUS IGI","to be deleted "
